n_components,mean_test_score,mean_train_score,mean_fit_time,best_n
1,0.5810724921875067,0.5787892339467833,0.08942659695943196,22
2,0.6224938106051177,0.6506748459632041,0.14455564816792807,22
3,0.5873539534777273,0.6814962594375144,0.10770265261332194,22
4,0.6774111628120673,0.7972568438811116,0.14548389116923013,22
5,0.6359807130281024,0.8374647829656486,0.14641555150349936,22
6,0.6536790116691422,0.8845962328880349,0.1488025983174642,22
7,0.6587880300718757,0.8981439072390135,0.15069135030110678,22
8,0.6658876839979917,0.9228173454565617,0.14856155713399252,22
9,0.64268404317464,0.949821794544838,0.15101106961568198,22
10,0.6750704979747405,0.979407489609227,0.16016538937886557,22
11,0.6634065573611297,0.9446889132599584,0.16097569465637207,22
12,0.6628472282879855,0.9829617391006654,0.16167259216308594,22
13,0.6567069509961844,0.9874648453594638,0.17823227246602377,22
14,0.686273353697123,0.9974920871886349,0.17154494921366373,22
15,0.674874562267152,0.9869916696044454,0.1773064136505127,22
16,0.6761488971274936,0.9959983766017554,0.17217270533243814,22
17,0.6877854552182764,0.9854487253806182,0.17971102396647134,22
18,0.6941201412402996,0.999000499750125,0.17216014862060547,22
19,0.6938252147309416,0.9970014992503748,0.17455792427062988,22
20,0.6867969013493802,0.999000499750125,0.16331076622009277,22
21,0.6956010346409077,0.9919804452532333,0.17803740501403809,22
22,0.7018430936070482,1.0,0.1777657667795817,22
23,0.6884768453379504,0.9989990313947804,0.17309093475341797,22
24,0.6809450562897549,1.0,0.16267077128092447,22
